,word,trueFrequency
0,theeee,713723
1,offfff,376975
2,andddd,293716
3,tooooo,274489
4,aaaaaa,236196
5,innnnn,216705
6,thattt,107680
7,isssss,102807
8,wassss,99728
9,heeeee,97181
10,forrrr,96653
11,ittttt,89142
12,withhh,74381
13,asssss,74282
14,hissss,71729
15,onnnnn,68577
16,beeeee,65041
17,attttt,55051
18,byyyyy,53792
19,iiiiii,52697
20,hadddd,52262
21,thisss,52261
22,notttt,46988
23,butttt,44876
24,areeee,44779
25,frommm,44597
26,orrrrr,43168
27,haveee,40301
28,annnnn,38573
29,theyyy,36933
30,whichh,36444
31,youuuu,33520
32,oneeee,33403
33,wereee,33054
34,herrrr,30899
35,alllll,30723
36,sheeee,29076
37,wouldd,27724
38,theree,27706
39,theirr,27037
40,weeeee,27004
41,himmmm,26540
42,beennn,25171
43,hassss,24840
44,whennn,23543
45,whoooo,22726
46,willll,22693
47,moreee,22665
48,ifffff,22395
49,nooooo,21982
50,outttt,21586
51,sooooo,20138
52,saiddd,19873
53,whattt,19450
54,uppppp,19066
55,itssss,18671
56,intooo,18513
57,thannn,18286
58,aboutt,18267
59,themmm,18247
60,cannnn,17990
61,onlyyy,17886
62,otherr,17621
63,someee,16594
64,newwww,16543
65,couldd,16387
66,timeee,16318
67,thesee,15782
68,twoooo,14527
69,mayyyy,14191
70,dooooo,14146
71,thennn,13985
72,firstt,13892
73,anyyyy,13591
74,myyyyy,13480
75,nowwww,13460
76,suchhh,13389
77,likeee,13106
78,ourrrr,12839
79,overrr,12677
80,meeeee,12188
81,mannnn,12108
82,evennn,11897
83,mosttt,11819
84,madeee,11684
85,throug,11457
86,afterr,10959
87,alsooo,10826
88,didddd,10617
89,though,10570
90,manyyy,10480
91,musttt,10394
92,should,10336
93,before,10292
94,afffff,10202
95,backkk,9776
96,yearss,9687
97,muchhh,9617
98,wheree,9525
99,yourrr,9464
100,wayyyy,9343
101,wellll,9179
102,downnn,9128
103,becaus,9036
104,people,9019
