,word,trueFrequency,privateFreq_run_0,privateFreq_run_1,privateFreq_run_2,privateFreq_run_3,privateFreq_run_4,privateFreq_run_5,privateFreq_run_6,privateFreq_run_7,privateFreq_run_8,privateFreq_run_9,Mean_Freq,StdDev_Freq
0,theeee,713723,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1,offfff,376975,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,andddd,293716,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3,tooooo,274489,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4,aaaaaa,236196,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5,innnnn,216705,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6,thattt,107680,0,0,0,0,0,0,0,0,0,0,0.0,0.0
7,isssss,102807,0,0,0,0,0,0,0,0,0,0,0.0,0.0
8,wassss,99728,0,0,0,0,0,0,0,0,0,0,0.0,0.0
9,heeeee,97181,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10,forrrr,96653,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11,ittttt,89142,0,0,0,0,0,0,0,0,0,0,0.0,0.0
12,withhh,74381,0,0,0,0,0,0,0,0,0,0,0.0,0.0
13,asssss,74282,0,0,0,0,0,0,0,0,0,0,0.0,0.0
14,hissss,71729,0,0,0,0,0,0,0,0,0,0,0.0,0.0
15,onnnnn,68577,0,0,0,0,0,0,0,0,0,0,0.0,0.0
16,beeeee,65041,0,0,0,0,0,0,0,0,0,0,0.0,0.0
17,attttt,55051,0,0,0,0,0,0,0,0,0,0,0.0,0.0
18,byyyyy,53792,0,0,0,0,0,0,0,0,0,0,0.0,0.0
19,iiiiii,52697,0,0,0,0,0,0,0,0,0,0,0.0,0.0
20,hadddd,52262,0,0,0,0,0,0,0,0,0,0,0.0,0.0
21,thisss,52261,0,0,0,0,0,0,0,0,0,0,0.0,0.0
22,notttt,46988,0,0,0,0,0,0,0,0,0,0,0.0,0.0
23,butttt,44876,0,0,0,0,0,0,0,0,0,0,0.0,0.0
24,areeee,44779,0,0,0,0,0,0,0,0,0,0,0.0,0.0
25,frommm,44597,0,0,0,0,0,0,0,0,0,0,0.0,0.0
26,orrrrr,43168,0,0,0,0,0,0,0,0,0,0,0.0,0.0
27,haveee,40301,0,0,0,0,0,0,0,0,0,0,0.0,0.0
28,annnnn,38573,0,0,0,0,0,0,0,0,0,0,0.0,0.0
29,theyyy,36933,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,whichh,36444,0,0,0,0,0,0,0,0,0,0,0.0,0.0
31,youuuu,33520,0,0,0,0,0,0,0,0,0,0,0.0,0.0
32,oneeee,33403,0,0,0,0,0,0,0,0,0,0,0.0,0.0
33,wereee,33054,0,0,0,0,0,0,0,0,0,0,0.0,0.0
34,herrrr,30899,0,0,0,0,0,0,0,0,0,0,0.0,0.0
35,alllll,30723,0,0,0,0,0,0,0,0,0,0,0.0,0.0
36,sheeee,29076,0,0,0,0,0,0,0,0,0,0,0.0,0.0
37,wouldd,27724,0,0,0,0,0,0,0,0,0,0,0.0,0.0
38,theree,27706,0,0,0,0,0,0,0,0,0,0,0.0,0.0
39,theirr,27037,0,0,0,0,0,0,0,0,0,0,0.0,0.0
40,weeeee,27004,0,0,0,0,0,0,0,0,0,0,0.0,0.0
41,himmmm,26540,0,0,0,0,0,0,0,0,0,0,0.0,0.0
42,beennn,25171,0,0,0,0,0,0,0,0,0,0,0.0,0.0
43,hassss,24840,0,0,0,0,0,0,0,0,0,0,0.0,0.0
44,whennn,23543,0,0,0,0,0,0,0,0,0,0,0.0,0.0
45,whoooo,22726,0,0,0,0,0,0,0,0,0,0,0.0,0.0
46,willll,22693,0,0,0,0,0,0,0,0,0,0,0.0,0.0
47,moreee,22665,0,0,0,0,0,0,0,0,0,0,0.0,0.0
48,ifffff,22395,0,0,0,0,0,0,0,0,0,0,0.0,0.0
49,nooooo,21982,0,0,0,0,0,0,0,0,0,0,0.0,0.0
50,outttt,21586,0,0,0,0,0,0,0,0,0,0,0.0,0.0
51,sooooo,20138,0,0,0,0,0,0,0,0,0,0,0.0,0.0
52,saiddd,19873,0,0,0,0,0,0,0,0,0,0,0.0,0.0
53,whattt,19450,0,0,0,0,0,0,0,0,0,0,0.0,0.0
54,uppppp,19066,0,0,0,0,0,0,0,0,0,0,0.0,0.0
55,itssss,18671,0,0,0,0,0,0,0,0,0,0,0.0,0.0
56,intooo,18513,0,0,0,0,0,0,0,0,0,0,0.0,0.0
57,thannn,18286,0,0,0,0,0,0,0,0,0,0,0.0,0.0
58,aboutt,18267,0,0,0,0,0,0,0,0,0,0,0.0,0.0
59,themmm,18247,0,0,0,0,0,0,0,0,0,0,0.0,0.0
60,cannnn,17990,0,0,0,0,0,0,0,0,0,0,0.0,0.0
61,onlyyy,17886,0,0,0,0,0,0,0,0,0,0,0.0,0.0
62,otherr,17621,0,0,0,0,0,0,0,0,0,0,0.0,0.0
63,someee,16594,0,0,0,0,0,0,0,0,0,0,0.0,0.0
64,newwww,16543,0,0,0,0,0,0,0,0,0,0,0.0,0.0
65,couldd,16387,0,0,0,0,0,0,0,0,0,0,0.0,0.0
66,timeee,16318,0,0,0,0,0,0,0,0,0,0,0.0,0.0
67,thesee,15782,0,0,0,0,0,0,0,0,0,0,0.0,0.0
68,twoooo,14527,0,0,0,0,0,0,0,0,0,0,0.0,0.0
69,mayyyy,14191,0,0,0,0,0,0,0,0,0,0,0.0,0.0
70,dooooo,14146,0,0,0,0,0,0,0,0,0,0,0.0,0.0
71,thennn,13985,0,0,0,0,0,0,0,0,0,0,0.0,0.0
72,firstt,13892,0,0,0,0,0,0,0,0,0,0,0.0,0.0
73,anyyyy,13591,0,0,0,0,0,0,0,0,0,0,0.0,0.0
74,myyyyy,13480,0,0,0,0,0,0,0,0,0,0,0.0,0.0
75,nowwww,13460,0,0,0,0,0,0,0,0,0,0,0.0,0.0
76,suchhh,13389,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77,likeee,13106,0,0,0,0,0,0,0,0,0,0,0.0,0.0
78,ourrrr,12839,0,0,0,0,0,0,0,0,0,0,0.0,0.0
79,overrr,12677,0,0,0,0,0,0,0,0,0,0,0.0,0.0
80,meeeee,12188,0,0,0,0,0,0,0,0,0,0,0.0,0.0
81,mannnn,12108,0,0,0,0,0,0,0,0,0,0,0.0,0.0
82,evennn,11897,0,0,0,0,0,0,0,0,0,0,0.0,0.0
83,mosttt,11819,0,0,0,0,0,0,0,0,0,0,0.0,0.0
84,madeee,11684,0,0,0,0,0,0,0,0,0,0,0.0,0.0
85,throug,11457,0,0,0,0,0,0,0,0,0,0,0.0,0.0
86,afterr,10959,0,0,0,0,0,0,0,0,0,0,0.0,0.0
87,alsooo,10826,0,0,0,0,0,0,0,0,0,0,0.0,0.0
88,didddd,10617,0,0,0,0,0,0,0,0,0,0,0.0,0.0
89,though,10570,0,0,0,0,0,0,0,0,0,0,0.0,0.0
90,manyyy,10480,0,0,0,0,0,0,0,0,0,0,0.0,0.0
91,musttt,10394,0,0,0,0,0,0,0,0,0,0,0.0,0.0
92,should,10336,0,0,0,0,0,0,0,0,0,0,0.0,0.0
93,before,10292,0,0,0,0,0,0,0,0,0,0,0.0,0.0
94,afffff,10202,0,0,0,0,0,0,0,0,0,0,0.0,0.0
95,backkk,9776,0,0,0,0,0,0,0,0,0,0,0.0,0.0
96,yearss,9687,0,0,0,0,0,0,0,0,0,0,0.0,0.0
97,muchhh,9617,0,0,0,0,0,0,0,0,0,0,0.0,0.0
98,wheree,9525,0,0,0,0,0,0,0,0,0,0,0.0,0.0
99,yourrr,9464,0,0,0,0,0,0,0,0,0,0,0.0,0.0
100,wayyyy,9343,0,0,0,0,0,0,0,0,0,0,0.0,0.0
101,wellll,9179,0,0,0,0,0,0,0,0,0,0,0.0,0.0
102,downnn,9128,0,0,0,0,0,0,0,0,0,0,0.0,0.0
103,becaus,9036,0,0,0,0,0,0,0,0,0,0,0.0,0.0
104,people,9019,0,0,0,0,0,0,0,0,0,0,0.0,0.0
105,eachhh,8883,0,0,0,0,0,0,0,0,0,0,0.0,0.0
106,justtt,8804,0,0,0,0,0,0,0,0,0,0,0.0,0.0
