,word,trueFrequency
0,hvugny,1003575
1,inipgj,910066
2,tsmnce,822102
3,mjpkul,744138
4,ryccdn,672294
5,dvsbjj,606280
6,mdwzya,548449
7,ubonlw,494829
8,kmdqsa,444697
9,xzqvie,400134
10,etqhdh,359659
11,zxwmtl,324325
12,qcelgj,291040
13,etkycd,261336
14,jnukqf,234302
15,bdjqww,210465
16,flucez,188455
17,fvrhlc,167816
18,euuapn,150151
19,ndizeu,134007
20,hqrerc,120404
21,emalht,106203
22,hsxxqq,94726
23,hyyotm,84175
24,xcoujf,74896
25,iwzkos,66256
26,zotqfu,58961
27,iaamhl,52139
28,jzbzdy,46216
29,snazks,40882
30,xipuim,35955
31,yhkknw,31664
32,gurcms,28308
33,zytkwy,24788
34,ygnbdl,21578
35,rdwbbv,18970
36,xouxme,16509
37,jcbtwn,14530
38,bgizpz,12681
39,hqcgch,11048
40,faxyil,9855
41,fysdil,8555
42,xkvgev,7259
43,glmruv,6486
44,igxwiz,5493
45,bcodgm,4785
46,tuzjeu,4108
47,eaqpah,3616
48,mdulqj,3051
49,tmijdc,2618
50,zdgnls,2392
51,zygdnd,1867
52,dnvgjg,1684
53,qmhrnv,1388
54,npdmsw,1198
55,dffiun,1018
56,pbjrlu,902
57,rrford,776
58,yjduzm,656
59,fcuhoz,527
60,mppnit,467
61,wuvsts,370
62,akwgdg,321
63,bqgust,270
64,ywosrz,223
65,gnaxrr,218
66,lvbbii,161
67,bicqsn,126
68,kyjprz,118
69,wkmlgk,97
70,huhcov,80
71,dwhqxa,59
72,kqdfvp,44
73,qahnbx,36
74,gjixzo,29
75,dfwoww,23
76,qvcyqa,21
77,inkwqo,17
78,oibser,16
79,whfptp,11
80,vbhhaf,10
81,ngezuz,8
82,rnxtag,8
83,fghnss,6
84,naafmm,4
85,dipwqu,3
86,mlapby,3
87,dlffii,3
88,gzzura,1
89,wrlswg,1
90,brorzb,1
91,fqyrad,1
92,flwpny,1
